is_jawa,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
Luar Jawa,351384652.20458597,21296039.528367084,348125,11833,68.65871970244616
Jawa,160399799.54083,9721199.972207788,384680,7672,31.341280297553837
