pulau,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
Jawa,160399799.54083,9721199.972207788,384680,7672,31.341280297553837
Lainnya,94877459.984966,5750149.089877737,125755,2008,18.53855850082804
Sumatera,74084160.179714,4489949.101793184,95341,3482,14.475656680669676
Maluku & Papua,54756663.611902,3318585.673743418,14242,585,10.699165131952928
Sulawesi,51617207.726746,3128315.6201800834,31861,1363,10.085731903481635
Kalimantan,49169822.234373,2979989.226293222,47822,1591,9.6075256031483
Bali & Nusa Tenggara,26879338.466885,1629050.8164794378,33104,2804,5.252081882365578
