kbli_kode,kbli_nama,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
78,Aktivitas Ketenagakerjaan,724551.242129,43912.196494538,10226,256,0.14157351589286335
80,Aktivitas Keamanan dan Penyelidikan,665226.525643,40316.759125643,5265,179,0.12998177716698453
18,Industri Pencetakan dan Reproduksi Media Rekaman,590806.285378,35806.441538527,1422,86,0.11544045219878875
82,"Aktivitas Administrasi Kantor, Aktivitas Penunjang Kantor Dan Aktivitas Penunjang Usaha Lainnya",483664.018552,29312.970815271,3425,233,0.09450541471169892
74,"Aktivitas profesional, ilmiah dan teknis lainnya",367334.339557,22262.687246213,1144,180,0.07177520503098993
79,"Aktivitas Agen Perjalanan, Penyelenggara Tur Dan Jasa Reservasi Lainnya",342175.530687,20737.910949836,1089,203,0.0668593056158754
58,Aktivitas Penerbitan,319912.752736,19388.651678656,1007,72,0.06250927546644942
53,Aktivitas Pos dan Kurir,313926.69890899997,19025.86053845961,723,101,0.0613396319169854
96,Aktivitas Jasa perorangan lainnya,191933.831572,11632.353427919,1122,127,0.03750286491069023
90,"Aktivitas Hiburan, Kesenian Dan Kreativitas",167765.144953,10167.584542248998,438,55,0.032780430194947335
81,Aktivitas Penyedia Jasa Untuk Gedung Dan Pertamanan,130824.390845,7928.7509600778185,2876,147,0.025562400420495342
69,Aktivitas Hukum Dan Akuntansi,70392.902864,4266.236537113,927,21,0.013754404344236802
95,Reparasi Komputer Dan Barang Keperluan Pribadi Dan Perlengkapan Rumah Tangga,43050.913638,2609.146281244,513,69,0.008411922927939087
72,Penelitian Dan Pengembangan Ilmu Pengetahuan,35812.243325,2170.438989377242,544,44,0.006997524681116062
91,"Perpustakaan, Arsip, Museum Dan Kegiatan Kebudayaan Lainnya",28457.134519,1724.674819328,245,30,0.005560374962925959
37,Treatment Air Limbah,23606.807818,1430.715625299606,133,48,0.004612646542404743
18,Industri pencetakan dan reproduksi media rekaman,14982.04627,908.0028039,120,1,0.002927413331707218
75,Aktivitas Kesehatan Hewan,3391.346821,205.536170993,68,10,0.0006626513973673832
82,"Aktivitas administrasi kantor, aktivitas penunjang kantor dan aktivitas penunjang usaha lainnya",700.0,42.42424242,0,1,0.0001367763318351474
39,Aktivitas Remediasi dan Pengelolaan Limbah dan Sampah Lainnya,505.437714,30.63258872,0,6,9.875988070294618e-05
46,"Perdagangan besar, bukan mobil dan sepeda motor",315.0,19.09090909,6,1,6.154934932581634e-05
97,Aktivitas Rumah Tangga Sebagai Pemberi Kerja Dari Personil Domestik,17.369259,1.052682364,0,3,3.393862189592315e-06
94,Aktivitas Keanggotaan Organisasi,5.902153,0.357706242,0,1,1.153249767528301e-06
88,Aktivitas Sosial Tanpa Akomodasi,5.1,0.309090909,0,1,9.96513274798931e-07
84,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",0.852324,0.051655999999999994,0,2,1.6653964322151453e-07
98,Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga Yang digunakan untuk Memenuhi Kebutuhan Sendiri,0.3,0.018181818,0,1,5.861842792934889e-08
